y\x,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199
65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,,,,,,,,,,,,,,track z=2,track z=2,track z=2,track z=2,track z=2,track z=2,track z=2,track z=2,track z=2,track z=2,track z=2,track z=2,track z=2,track z=2,track z=2,track z=2,track z=2,track z=2,track z=2,track z=2,track z=2,track z=2,track z=2,track z=2,track z=2,track z=2,track z=2,track z=2,track z=2,track z=2,track z=2,track z=2,track z=2,track z=2,track z=2,track z=2,track z=2,track z=2,track z=2,track z=2,track z=2,track z=2,track z=2,track z=2,track z=2,track z=2,track z=2,track z=2,track z=2,track z=2,track z=2,track z=2,track z=2,track z=2,track z=2,track z=2,track z=2,track z=2,track z=2,track z=2,track z=2,track z=2,track z=2,track z=2,track z=2,track z=2,track z=2,track z=2,track z=2,track z=2,track z=2,track z=2,track z=2,track z=2,track z=2,track z=2,track z=2,bounce z=2,track z=2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,track z=2,track z=2,track z=2,bounce z=2,track z=2,track z=2,track z=2,track z=2,track z=2,bounce z=2,track z=2,track z=2,track z=2,track z=2,track z=2,bounce z=2,track z=2,track z=2,track z=2,track z=2,track z=2,bounce z=2,track z=2,track z=2,track z=2,track z=2,bounce z=2,track z=2,track z=2,track z=2,track z=2,bounce z=2,track z=2,track z=2,track z=2,track z=2,bounce z=2,track z=2,track z=2,track z=2,track z=2,track z=2,bounce z=2,track z=2,track z=2,track z=2,track z=2,bounce z=2,track z=2,track z=2,track z=2,track z=2,track z=2,bounce z=2,track z=2,track z=2,track z=2,track z=2,track z=2,bounce z=2,track z=2,track z=2,track z=2,track z=2,track z=2,bounce z=2,track z=2,track z=2,bounce z=2,track z=2,track z=2,bounce z=2,track z=2,track z=2,bounce z=2,track z=2,track z=2,bounce z=2,track z=2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,,,,,,,,,,,,,,track z=2,track z=2,track z=3,track z=3,track z=3,track z=3,track z=3,track z=3,track z=3,track z=3,track z=3,track z=3,track z=3,track z=3,track z=3,track z=3,track z=3,track z=3,track z=3,track z=3,track z=3,track z=3,track z=3,track z=3,track z=3,track z=3,track z=3,track z=3,track z=3,track z=3,track z=3,track z=3,track z=3,track z=3,track z=3,track z=3,track z=3,track z=3,track z=3,track z=3,track z=3,track z=3,track z=3,track z=3,track z=3,track z=3,track z=3,track z=3,track z=3,track z=3,track z=3,track z=3,track z=3,track z=3,track z=3,track z=3,track z=3,track z=3,track z=3,track z=3,track z=3,track z=3,track z=3,track z=3,track z=3,track z=3,track z=3,track z=3,track z=3,track z=3,track z=3,track z=3,track z=3,track z=3,track z=3,track z=3,track z=3,track z=2,track z=2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,,,,,,,,,,,,,track z=2,track z=2,track z=3,track z=3,track z=3,track z=3,track z=3,track z=3,track z=3,track z=3,track z=3,track z=3,track z=3,track z=3,track z=3,track z=3,track z=3,track z=3,track z=3,track z=3,track z=3,track z=3,track z=3,track z=3,track z=3,track z=3,track z=3,track z=3,track z=3,track z=3,track z=3,track z=3,track z=3,track z=3,track z=3,track z=3,track z=3,track z=3,track z=3,track z=3,track z=3,track z=3,track z=3,track z=3,track z=3,track z=3,track z=3,track z=3,track z=3,track z=3,track z=3,track z=3,track z=3,track z=3,track z=3,track z=3,track z=3,track z=3,track z=3,track z=3,track z=3,track z=3,track z=3,track z=3,track z=3,track z=3,track z=3,track z=3,track z=3,track z=3,track z=3,track z=3,track z=3,track z=3,track z=3,track z=3,track z=3,track z=2,track z=2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,,,,,,,,,,,,,,track z=2,track z=2,track z=3,track z=3,track z=3,track z=3,track z=3,bounce z=3,track z=3,track z=3,track z=3,bounce z=3,track z=3,track z=3,track z=3,track z=3,bounce z=3,track z=3,track z=3,track z=3,track z=3,track z=3,bounce z=3,track z=3,track z=3,track z=3,track z=3,track z=3,track z=3,track z=3,bounce z=3,track z=3,track z=3,track z=3,track z=3,track z=3,track z=3,track z=3,track z=3,track z=3,track z=3,track z=3,track z=3,track z=3,bounce z=3,track z=3,track z=3,track z=3,track z=3,track z=3,track z=3,bounce z=3,track z=3,track z=3,track z=3,track z=3,track z=3,track z=3,bounce z=3,track z=3,track z=3,track z=3,track z=3,track z=3,bounce z=3,track z=3,track z=3,track z=3,track z=3,track z=3,bounce z=3,track z=3,track z=3,track z=3,track z=3,track z=3,track z=3,track z=2,track z=2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,,,,,,,,,,,,,,track z=2,track z=2,track z=3,track z=3,track z=3,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=3,track z=3,track z=3,track z=2,track z=2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,,,,,,,,,,,,,,track z=2,bounce z=2,track z=3,track z=3,track z=3,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=3,track z=3,track z=3,track z=2,track z=2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,,,,,,,,,,,,,track z=2,track z=2,track z=3,track z=3,track z=3,track z=4,track z=4,track z=4,bounce z=4,track z=4,track z=4,track z=4,bounce z=4,track z=4,track z=4,track z=4,bounce z=4,track z=4,track z=4,track z=4,bounce z=4,track z=4,track z=4,track z=4,track z=4,bounce z=4,track z=4,track z=4,track z=4,track z=4,bounce z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,bounce z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,bounce z=4,track z=4,track z=4,track z=4,track z=4,track z=4,bounce z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,bounce z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,bounce z=4,track z=4,track z=4,track z=4,bounce z=3,track z=3,track z=3,bounce z=2,track z=2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,,,,,,,,,,,,,,track z=2,track z=2,track z=3,track z=3,track z=3,track z=4,track z=4,track z=4,track z=5,track z=5,track z=5,track z=5,track z=5,track z=5,track z=5,track z=5,track z=5,track z=5,track z=5,track z=5,track z=5,track z=5,track z=5,track z=5,track z=5,track z=5,track z=5,track z=5,track z=5,track z=5,track z=5,track z=5,track z=5,track z=5,track z=5,track z=5,track z=5,track z=5,track z=5,track z=5,track z=5,track z=5,track z=5,track z=5,track z=5,track z=5,track z=5,track z=5,track z=5,track z=5,track z=5,track z=5,track z=5,track z=5,track z=5,track z=5,track z=5,track z=5,track z=5,track z=5,track z=5,track z=5,track z=5,track z=5,track z=5,track z=5,track z=5,track z=5,track z=5,track z=5,track z=5,track z=4,track z=4,track z=4,track z=3,track z=3,track z=3,bounce z=2,track z=2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,,,,,,,,,,,,,,track z=2,track z=2,track z=3,track z=3,track z=3,track z=4,track z=4,track z=4,track z=5,track z=5,track z=5,track z=5,track z=5,track z=5,track z=5,track z=5,track z=5,track z=5,track z=5,track z=5,track z=5,track z=5,track z=5,track z=5,track z=5,track z=5,track z=5,track z=5,track z=5,track z=5,track z=5,track z=5,track z=5,track z=5,track z=5,bounce z=5,track z=5,track z=5,track z=5,track z=5,track z=5,track z=5,track z=5,track z=5,track z=5,track z=5,track z=5,track z=5,track z=5,track z=5,track z=5,track z=5,track z=5,track z=5,track z=5,track z=5,track z=5,track z=5,track z=5,track z=5,track z=5,track z=5,track z=5,track z=5,track z=5,track z=5,track z=5,track z=5,track z=5,track z=5,track z=5,track z=4,track z=4,track z=4,track z=3,track z=3,track z=3,bounce z=2,track z=2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,,,,,,,,,,,,,,track z=2,track z=2,track z=3,track z=3,track z=3,track z=4,track z=4,track z=4,track z=5,track z=5,track z=5,bounce z=5,track z=5,bounce z=5,track z=5,track z=5,track z=5,bounce z=5,track z=5,track z=5,track z=5,bounce z=5,track z=5,track z=5,track z=5,track z=5,track z=5,bounce z=5,track z=5,track z=5,track z=5,track z=5,track z=5,bounce z=5,track z=5,track z=5,track z=5,track z=5,track z=5,track z=5,track z=5,track z=5,track z=5,bounce z=5,track z=5,track z=5,track z=5,track z=5,track z=5,track z=5,track z=5,bounce z=5,track z=5,track z=5,track z=5,track z=5,track z=5,track z=5,track z=5,track z=5,bounce z=5,track z=5,track z=5,track z=5,track z=5,track z=5,track z=5,track z=5,bounce z=5,track z=5,track z=5,track z=4,track z=4,track z=4,track z=3,track z=3,track z=3,bounce z=2,track z=2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,,,,,,,,,,,,,,track z=2,track z=2,track z=3,track z=3,track z=3,track z=4,track z=4,bounce z=4,track z=5,track z=5,track z=5,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,track z=5,track z=5,track z=5,track z=4,track z=4,track z=4,track z=3,track z=3,track z=3,bounce z=2,track z=2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,,,,,,,,,,,,,,track z=2,bounce z=2,track z=3,track z=3,track z=3,track z=4,track z=4,track z=4,track z=5,track z=5,track z=5,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,track z=5,track z=5,track z=5,track z=4,track z=4,track z=4,track z=3,track z=3,track z=3,track z=2,track z=2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,,,,,,,,,,,,,,track z=2,track z=2,track z=3,track z=3,track z=3,track z=4,track z=4,track z=4,track z=5,track z=5,track z=5,track z=6,track z=6,track z=6,track z=6,bounce z=6,track z=6,track z=6,track z=6,track z=6,bounce z=6,track z=6,track z=6,track z=6,bounce z=6,track z=6,track z=6,track z=6,track z=6,bounce z=6,track z=6,track z=6,track z=6,track z=6,track z=6,bounce z=6,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,bounce z=6,track z=6,track z=6,track z=6,track z=6,track z=6,bounce z=6,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,bounce z=6,track z=6,track z=6,bounce z=6,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,bounce z=5,track z=5,track z=5,track z=4,track z=4,track z=4,track z=3,track z=3,track z=3,track z=2,track z=2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,,,,,,,,,,,,,,track z=2,track z=2,track z=3,track z=3,track z=3,track z=4,track z=4,track z=4,track z=5,track z=5,bounce z=5,track z=6,track z=6,track z=6,track z=7,track z=7,track z=7,track z=7,track z=7,track z=7,track z=7,track z=7,track z=7,track z=7,track z=7,track z=7,track z=7,track z=7,track z=7,track z=7,track z=7,track z=7,track z=7,track z=7,track z=7,track z=7,track z=7,track z=7,RAMP_N z=7,track z=7,track z=7,track z=7,track z=7,track z=7,track z=7,track z=7,track z=7,track z=7,track z=7,track z=7,track z=7,track z=7,track z=7,track z=7,track z=7,track z=7,track z=7,track z=7,track z=7,track z=7,track z=7,track z=7,track z=7,track z=7,track z=7,bounce z=6,track z=6,track z=6,track z=5,track z=5,track z=5,track z=4,track z=4,track z=4,track z=3,track z=3,track z=3,track z=2,track z=2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,,,,,,,,,,,,,,track z=2,track z=2,track z=3,track z=3,bounce z=3,track z=4,track z=4,track z=4,track z=5,track z=5,track z=5,track z=6,track z=6,track z=6,track z=7,track z=7,track z=7,track z=7,track z=7,track z=7,track z=7,track z=7,track z=7,track z=7,track z=7,track z=7,track z=7,track z=7,track z=7,track z=7,track z=7,track z=7,track z=7,track z=7,track z=7,track z=7,track z=7,track z=7,track z=7,track z=7,track z=7,track z=7,track z=7,track z=7,track z=7,track z=7,track z=7,track z=7,track z=7,track z=7,track z=7,track z=7,track z=7,track z=7,track z=7,track z=7,track z=7,track z=7,track z=7,track z=7,track z=7,track z=7,track z=7,track z=7,track z=7,track z=6,track z=6,track z=6,track z=5,track z=5,track z=5,track z=4,track z=4,track z=4,track z=3,track z=3,track z=3,bounce z=2,track z=2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,,,,,,,,,,,,,,track z=2,track z=2,track z=3,track z=3,track z=3,track z=4,track z=4,track z=4,track z=5,track z=5,track z=5,track z=6,track z=6,track z=6,track z=7,track z=7,bounce z=7,track z=7,bounce z=7,track z=7,track z=7,track z=7,track z=7,bounce z=7,track z=7,track z=7,bounce z=7,track z=7,track z=7,track z=7,track z=7,bounce z=7,track z=7,track z=7,track z=7,bounce z=7,track z=7,track z=7,track z=7,track z=7,track z=7,bounce z=7,track z=7,track z=7,bounce z=7,bounce z=7,track z=7,track z=7,track z=7,track z=7,track z=7,track z=7,track z=7,bounce z=7,track z=7,track z=7,track z=7,track z=7,bounce z=7,track z=7,track z=7,track z=7,track z=7,track z=7,track z=7,track z=6,track z=6,track z=6,track z=5,track z=5,track z=5,bounce z=4,track z=4,track z=4,bounce z=3,track z=3,track z=3,bounce z=2,track z=2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,,,,,,,,,,,,,,track z=2,bounce z=2,track z=3,track z=3,track z=3,track z=4,track z=4,bounce z=4,track z=5,track z=5,track z=5,track z=6,track z=6,bounce z=6,track z=7,track z=7,track z=7,track z=8,track z=8,track z=8,track z=8,track z=8,track z=8,track z=8,track z=8,track z=8,track z=8,track z=8,track z=8,track z=8,track z=8,track z=8,track z=8,track z=8,track z=8,track z=8,track z=8,track z=8,track z=8,track z=8,track z=8,track z=8,track z=8,track z=8,track z=8,track z=8,track z=8,track z=8,track z=8,track z=8,track z=8,track z=8,track z=8,track z=8,track z=8,track z=8,track z=8,track z=8,track z=8,track z=8,track z=8,track z=8,bounce z=7,track z=7,track z=7,track z=6,track z=6,track z=6,track z=5,track z=5,track z=5,track z=4,track z=4,track z=4,track z=3,track z=3,track z=3,bounce z=2,track z=2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,,,,,,,,,,,,,,track z=2,track z=2,track z=3,track z=3,track z=3,track z=4,track z=4,track z=4,track z=5,track z=5,track z=5,track z=6,track z=6,track z=6,track z=7,track z=7,track z=7,track z=8,track z=8,track z=8,track z=8,track z=8,track z=8,track z=8,track z=8,track z=8,track z=8,track z=8,track z=8,track z=8,track z=8,track z=8,track z=8,track z=8,track z=8,track z=8,track z=8,track z=8,track z=8,track z=8,track z=8,track z=8,track z=8,track z=8,track z=8,track z=8,track z=8,track z=8,track z=8,track z=8,track z=8,track z=8,track z=8,track z=8,track z=8,track z=8,track z=8,track z=8,track z=8,track z=8,track z=8,track z=8,track z=7,track z=7,track z=7,track z=6,track z=6,track z=6,track z=5,track z=5,track z=5,track z=4,track z=4,track z=4,track z=3,track z=3,track z=3,bounce z=2,track z=2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,,,,,,,,,,,,,,track z=2,track z=2,track z=3,track z=3,track z=3,track z=4,track z=4,track z=4,track z=5,track z=5,track z=5,track z=6,track z=6,track z=6,track z=7,track z=7,RAMP_E z=8,track z=8,track z=8,bounce z=8,track z=8,bounce z=8,track z=8,track z=8,track z=8,bounce z=8,track z=8,track z=8,track z=8,track z=8,track z=8,bounce z=8,track z=8,track z=8,track z=8,track z=8,track z=8,bounce z=8,track z=8,track z=8,track z=8,track z=8,track z=8,track z=8,track z=8,track z=8,bounce z=8,track z=8,track z=8,track z=8,track z=8,bounce z=8,track z=8,track z=8,track z=8,bounce z=8,track z=8,track z=8,track z=8,bounce z=8,track z=8,track z=8,track z=7,track z=7,track z=7,track z=6,track z=6,track z=6,track z=5,track z=5,track z=5,track z=4,track z=4,track z=4,track z=3,track z=3,track z=3,track z=2,track z=2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,,,,,,,,,,,,,,track z=2,track z=2,track z=3,track z=3,track z=3,track z=4,track z=4,track z=4,track z=5,track z=5,track z=5,track z=6,track z=6,track z=6,track z=7,track z=7,track z=7,track z=8,track z=8,track z=8,track z=9,track z=9,track z=9,track z=9,track z=9,track z=9,track z=9,track z=9,track z=9,track z=9,track z=9,track z=9,track z=9,track z=9,track z=9,track z=9,track z=9,track z=9,track z=9,track z=9,track z=9,track z=9,track z=9,track z=9,track z=9,track z=9,track z=9,track z=9,track z=9,track z=9,track z=9,track z=9,track z=9,track z=9,track z=9,track z=9,track z=9,track z=9,track z=9,track z=8,track z=8,track z=8,track z=7,track z=7,track z=7,track z=6,track z=6,track z=6,track z=5,track z=5,track z=5,track z=4,track z=4,track z=4,bounce z=3,track z=3,track z=3,track z=2,track z=2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,,,,,,,,,,,,,,track z=2,track z=2,track z=3,track z=3,track z=3,track z=4,track z=4,track z=4,track z=5,track z=5,track z=5,track z=6,track z=6,track z=6,track z=7,track z=7,track z=7,track z=8,track z=8,track z=8,track z=9,track z=9,track z=9,track z=9,track z=9,track z=9,track z=9,track z=9,track z=9,track z=9,track z=9,track z=9,track z=9,track z=9,track z=9,track z=9,track z=9,track z=9,track z=9,track z=9,track z=9,track z=9,track z=9,track z=9,track z=9,track z=9,track z=9,track z=9,track z=9,track z=9,track z=9,track z=9,track z=9,track z=9,track z=9,track z=9,track z=9,track z=9,track z=9,track z=8,track z=8,track z=8,track z=7,track z=7,track z=7,track z=6,track z=6,track z=6,track z=5,track z=5,track z=5,track z=4,track z=4,track z=4,track z=3,track z=3,track z=3,track z=2,track z=2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,,,,,,,,,,,,,,track z=2,bounce z=2,track z=3,track z=3,track z=3,track z=4,track z=4,track z=4,track z=5,track z=5,bounce z=5,track z=6,track z=6,track z=6,track z=7,track z=7,bounce z=7,track z=8,track z=8,track z=8,track z=9,track z=9,track z=9,bounce z=9,track z=9,track z=9,bounce z=9,track z=9,bounce z=9,track z=9,track z=9,bounce z=9,track z=9,track z=9,track z=9,bounce z=9,track z=9,track z=9,track z=9,bounce z=9,track z=9,bounce z=9,track z=9,track z=9,track z=9,track z=9,bounce z=9,track z=9,track z=9,track z=9,track z=9,bounce z=9,track z=9,track z=9,track z=9,bounce z=9,track z=9,track z=9,track z=9,track z=8,track z=8,track z=8,track z=7,track z=7,track z=7,bounce z=6,track z=6,track z=6,track z=5,track z=5,track z=5,bounce z=4,track z=4,track z=4,track z=3,track z=3,track z=3,track z=2,track z=2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,,,,,,,,,,,,,,track z=2,track z=2,track z=3,track z=3,bounce z=3,track z=4,track z=4,bounce z=4,track z=5,track z=5,track z=5,track z=6,track z=6,bounce z=6,track z=7,track z=7,track z=7,track z=8,track z=8,track z=8,track z=9,track z=9,track z=9,track z=10,track z=10,track z=10,track z=10,track z=10,track z=10,track z=10,track z=10,track z=10,track z=10,track z=10,RAMP_N z=10,track z=10,track z=10,track z=10,track z=10,track z=10,track z=10,track z=10,track z=10,track z=10,track z=10,RAMP_N z=10,track z=10,track z=10,track z=10,track z=10,track z=10,track z=10,track z=10,track z=10,track z=10,track z=10,track z=9,track z=9,track z=9,bounce z=8,track z=8,track z=8,track z=7,track z=7,track z=7,track z=6,track z=6,track z=6,track z=5,track z=5,track z=5,track z=4,track z=4,track z=4,track z=3,track z=3,track z=3,track z=2,track z=2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
